timestamp,agricult,forest,impervi,soil,water,wetlands
Jan_2018,10.215,47.486,2.727,31.31,7.913,0.349
Feb_2018,10.192,47.606,2.654,31.621,7.558,0.369
Mar_2018,9.805,46.094,2.665,33.48,7.743,0.212
Apr_2018,10.007,46.555,2.69,32.601,7.886,0.261
May_2018,9.944,48.651,2.891,30.197,7.863,0.453
Jun_2018,9.822,49.49,3.017,29.632,7.542,0.496
Jul_2018,9.287,50.716,2.994,28.428,7.987,0.588
Aug_2018,9.411,51.363,3.119,27.386,8.218,0.504
Sep_2018,9.538,51.014,3.145,27.49,8.214,0.6
Oct_2018,10.195,51.03,3.127,27.278,7.55,0.82
Nov_2018,10.729,49.962,3.042,27.589,7.845,0.833
Dec_2018,11.622,48.495,2.907,27.856,8.247,0.873
Jan_2019,11.667,47.592,3.049,28.691,8.207,0.795
Feb_2019,11.401,46.642,2.995,29.975,8.412,0.574
Mar_2019,11.944,46.109,3.024,29.818,8.639,0.466
Apr_2019,11.3,46.056,3.288,31.009,7.848,0.499
May_2019,11.521,47.513,3.051,29.322,8.175,0.417
Jun_2019,10.813,49.331,3.039,28.206,7.883,0.727
Jul_2019,10.784,48.755,3.135,28.764,7.855,0.707
Aug_2019,10.889,50.217,3.251,27.151,7.755,0.737
Sep_2019,10.872,50.121,3.3,26.99,7.966,0.752
Oct_2019,11.267,50.117,3.308,26.847,7.794,0.668
Nov_2019,11.094,49.694,3.221,27.582,7.57,0.84
Dec_2019,11.862,48.273,3.089,28.194,7.915,0.666
