timestamp,agricult,forest,impervi,soil,water,wetlands
Jan_2018,1493,6929,398,4570,1155,51
Feb_2018,1491,6959,388,4623,1105,54
Mar_2018,1432,6726,389,4886,1130,31
Apr_2018,1459,6782,392,4750,1149,38
May_2018,1449,7082,422,4397,1145,66
Jun_2018,1427,7184,438,4302,1095,72
Jul_2018,1344,7333,433,4111,1155,85
Aug_2018,1364,7444,452,3969,1191,73
Sep_2018,1383,7397,456,3986,1191,87
Oct_2018,1480,7408,454,3960,1096,119
Nov_2018,1559,7260,442,4009,1140,121
Dec_2018,1691,7056,423,4053,1200,127
Jan_2019,1703,6947,445,4188,1198,116
Feb_2019,1667,6820,438,4383,1230,84
Mar_2019,1742,6725,441,4349,1260,68
Apr_2019,1653,6737,481,4536,1148,73
May_2019,1684,6945,446,4286,1195,61
Jun_2019,1576,7190,443,4111,1149,106
Jul_2019,1571,7106,459,4193,1145,103
Aug_2019,1581,7289,474,3942,1126,107
Sep_2019,1575,7261,478,3910,1154,109
Oct_2019,1635,7271,482,3896,1131,97
Nov_2019,1613,7218,470,4008,1100,122
Dec_2019,1728,7031,451,4107,1153,97
