timestamp,agricult,forest,impervi,soil,water,wetlands
Jan_2018,1909,8888,571,6090,1521,74
Feb_2018,1921,8950,557,6150,1451,73
Mar_2018,1849,8670,549,6467,1487,46
Apr_2018,1878,8745,569,6278,1514,56
May_2018,1858,9109,600,5857,1505,98
Jun_2018,1829,9204,609,5809,1423,95
Jul_2018,1722,9405,605,5545,1505,113
Aug_2018,1757,9512,626,5372,1556,106
Sep_2018,1782,9416,619,5455,1547,116
Oct_2018,1917,9442,608,5422,1404,168
Nov_2018,2018,9312,616,5401,1467,163
Dec_2018,2181,9086,610,5378,1586,168
Jan_2019,2205,8968,609,5553,1577,155
Feb_2019,2143,8763,615,5855,1613,113
Mar_2019,2237,8667,618,5765,1672,95
Apr_2019,2147,8689,659,5999,1493,120
May_2019,2163,8953,629,5738,1530,88
Jun_2019,2039,9229,622,5546,1455,153
Jul_2019,2037,9119,628,5656,1462,141
Aug_2019,2032,9325,636,5390,1432,148
Sep_2019,2041,9276,646,5332,1482,151
Oct_2019,2122,9300,650,5338,1431,129
Nov_2019,2079,9252,646,5465,1392,157
Dec_2019,2237,9032,640,5507,1494,131
