timestamp,agricult,forest,impervi,soil,water,wetlands
Jan_2018,10.019,46.649,2.997,31.963,7.983,0.388
Feb_2018,10.057,46.854,2.916,32.196,7.596,0.382
Mar_2018,9.697,45.469,2.879,33.915,7.798,0.241
Apr_2018,9.863,45.93,2.988,32.973,7.952,0.294
May_2018,9.765,47.874,3.153,30.783,7.91,0.515
Jun_2018,9.642,48.521,3.211,30.624,7.502,0.501
Jul_2018,9.114,49.775,3.202,29.346,7.965,0.598
Aug_2018,9.282,50.251,3.307,28.38,8.22,0.56
Sep_2018,9.411,49.728,3.269,28.809,8.17,0.613
Oct_2018,10.11,49.797,3.207,28.596,7.405,0.886
Nov_2018,10.634,49.07,3.246,28.461,7.73,0.859
Dec_2018,11.474,47.798,3.209,28.292,8.343,0.884
Jan_2019,11.564,47.034,3.194,29.124,8.271,0.813
Feb_2019,11.219,45.875,3.22,30.651,8.444,0.592
Mar_2019,11.74,45.487,3.243,30.256,8.775,0.499
Apr_2019,11.237,45.475,3.449,31.397,7.814,0.628
May_2019,11.324,46.872,3.293,30.04,8.01,0.461
Jun_2019,10.707,48.461,3.266,29.122,7.64,0.803
Jul_2019,10.697,47.886,3.298,29.701,7.677,0.74
Aug_2019,10.716,49.175,3.354,28.424,7.552,0.78
Sep_2019,10.783,49.007,3.413,28.17,7.83,0.798
Oct_2019,11.186,49.025,3.426,28.139,7.543,0.68
Nov_2019,10.947,48.718,3.402,28.777,7.33,0.827
Dec_2019,11.748,47.434,3.361,28.922,7.846,0.688
